+-----------+------------+---------+-------------------------+
|festival_id|running_date|name     |number_of_staff_employeed|
|14         |2027-04-18  |Technical|3                        |
|15         |2028-06-22  |Security |48                       |
|15         |2028-06-22  |Support  |19                       |
|15         |2028-06-22  |Technical|2                        |
|15         |2028-06-23  |Security |43                       |
|15         |2028-06-23  |Support  |17                       |
|15         |2028-06-23  |Technical|2                        |
|15         |2028-06-24  |Security |43                       |
|15         |2028-06-24  |Support  |17                       |
|15         |2028-06-24  |Technical|2                        |
+-----------+------------+---------+-------------------------+
